               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.021538,            0.028041,          0.00064157,              0.7826,             0.65575,             0.68182,             0.48475,            0.031485,             0.01505,           0.0010243,            0.004588,            0.004588,            0.004588
                  84,             0.02217,            0.028771,          0.00086373,             0.78357,             0.65392,             0.68235,             0.48614,            0.031469,            0.015035,           0.0010271,            0.004522,            0.004522,            0.004522
                  85,            0.022139,            0.028589,          0.00076715,             0.78814,             0.65804,             0.68256,             0.48539,            0.031451,            0.015022,           0.0010236,            0.004456,            0.004456,            0.004456
                  86,            0.021922,            0.028357,          0.00072844,             0.78946,             0.65829,             0.68475,             0.48528,            0.031435,            0.015007,           0.0010174,             0.00439,             0.00439,             0.00439
                  87,            0.021524,            0.028102,          0.00066402,             0.78672,             0.66286,             0.68497,             0.48606,            0.031392,             0.01499,           0.0010099,            0.004324,            0.004324,            0.004324
                  88,            0.021968,            0.028169,          0.00081286,             0.78446,             0.66238,             0.68468,             0.48612,            0.031365,            0.014969,           0.0010089,            0.004258,            0.004258,            0.004258
                  89,            0.021684,            0.028451,          0.00080104,              0.7879,             0.66162,             0.68467,             0.48726,            0.031337,             0.01495,            0.001003,            0.004192,            0.004192,            0.004192
                  90,             0.02148,            0.027938,            0.000709,             0.79097,             0.66068,             0.68534,             0.48907,            0.031305,            0.014928,          0.00099174,            0.004126,            0.004126,            0.004126
                  91,            0.021659,            0.028246,          0.00079672,             0.79298,             0.66411,             0.68676,             0.48925,            0.031283,            0.014902,          0.00099715,             0.00406,             0.00406,             0.00406
                  92,             0.01923,              0.0254,          0.00032811,             0.79417,             0.66411,             0.68754,             0.49081,            0.030875,            0.014799,          0.00092648,            0.003994,            0.003994,            0.003994
                  93,             0.01872,            0.024641,          0.00026892,              0.7961,             0.66657,             0.68689,             0.49139,            0.030837,            0.014794,          0.00092936,            0.003928,            0.003928,            0.003928
                  94,            0.018602,             0.02441,          0.00023754,              0.7907,             0.66823,             0.68825,             0.49281,            0.030826,            0.014788,          0.00093217,            0.003862,            0.003862,            0.003862
                  95,             0.01832,            0.024233,          0.00022274,             0.79252,              0.6678,             0.68719,              0.4929,            0.030803,            0.014784,          0.00094116,            0.003796,            0.003796,            0.003796
                  96,            0.017637,            0.023368,          0.00017298,             0.78781,             0.66985,              0.6881,             0.49364,            0.031148,            0.014882,           0.0010317,             0.00373,             0.00373,             0.00373
                  97,            0.017387,            0.022742,          0.00016242,             0.78425,             0.66823,             0.68791,             0.49406,            0.031128,            0.014888,           0.0010344,            0.003664,            0.003664,            0.003664
                  98,            0.017334,            0.022748,          0.00014591,             0.78417,             0.66831,             0.68889,             0.49479,            0.031121,            0.014893,           0.0010361,            0.003598,            0.003598,            0.003598
                  99,            0.017215,            0.022666,           0.0001393,             0.78276,             0.66972,             0.68953,             0.49706,            0.031089,            0.014902,           0.0010382,            0.003532,            0.003532,            0.003532
                 100,            0.019905,            0.026505,          0.00042885,             0.78495,             0.66764,             0.68934,              0.4967,            0.031043,            0.014894,           0.0010307,            0.003466,            0.003466,            0.003466
                 101,            0.020155,            0.026837,          0.00051046,             0.79711,             0.66033,             0.68998,             0.49745,            0.031008,            0.014886,           0.0010199,              0.0034,              0.0034,              0.0034
                 102,             0.02016,            0.026716,           0.0005169,             0.79616,             0.66033,             0.68842,              0.4966,            0.030989,            0.014875,          0.00099783,            0.003334,            0.003334,            0.003334
                 103,            0.020015,            0.026567,          0.00048756,             0.79403,             0.66033,             0.68781,             0.49764,            0.030979,            0.014859,          0.00098347,            0.003268,            0.003268,            0.003268
                 104,            0.019683,            0.026271,          0.00038979,             0.79477,              0.6619,             0.68737,             0.49704,            0.030959,            0.014848,          0.00097355,            0.003202,            0.003202,            0.003202
                 105,            0.019933,            0.026344,          0.00049929,             0.78838,             0.66445,             0.68687,             0.49747,            0.030947,            0.014836,          0.00096679,            0.003136,            0.003136,            0.003136
                 106,            0.019624,            0.026548,          0.00048095,             0.79567,              0.6625,             0.68778,              0.4979,            0.030951,            0.014823,          0.00095325,             0.00307,             0.00307,             0.00307
                 107,            0.019498,            0.026165,          0.00045373,             0.78499,             0.66576,             0.68946,             0.49872,            0.030935,            0.014809,          0.00094372,            0.003004,            0.003004,            0.003004
                 108,            0.019612,            0.026342,          0.00047451,             0.79757,             0.65953,             0.68907,             0.49906,             0.03093,            0.014789,          0.00092841,            0.002938,            0.002938,            0.002938
                 109,            0.020204,            0.026724,          0.00066281,             0.80209,              0.6596,              0.6904,             0.49915,            0.030904,            0.014777,           0.0009138,            0.002872,            0.002872,            0.002872
                 110,             0.01742,            0.023485,          0.00021238,             0.80332,             0.65897,             0.69058,             0.49978,            0.030539,            0.014666,          0.00084416,            0.002806,            0.002806,            0.002806
                 111,            0.016956,            0.022643,          0.00017644,             0.80149,             0.66149,             0.69023,             0.50024,            0.030523,            0.014671,          0.00083771,             0.00274,             0.00274,             0.00274
                 112,            0.016776,            0.022375,          0.00013721,             0.80122,             0.66051,             0.69014,             0.50036,            0.030521,            0.014675,          0.00083539,            0.002674,            0.002674,            0.002674
                 113,            0.016551,            0.022181,          0.00012907,             0.80196,             0.65767,             0.69012,              0.5007,            0.030511,            0.014691,          0.00082957,            0.002608,            0.002608,            0.002608
                 114,            0.015895,            0.021304,          0.00010613,             0.80042,              0.6563,             0.68908,             0.50127,            0.030842,            0.014819,          0.00088394,            0.002542,            0.002542,            0.002542
                 115,            0.015553,            0.020528,          0.00010372,             0.80082,             0.65881,              0.6877,             0.50072,            0.030856,            0.014843,          0.00088589,            0.002476,            0.002476,            0.002476
                 116,            0.015468,             0.02039,          8.7228e-05,             0.79936,             0.65888,             0.68734,             0.50099,            0.030887,            0.014866,          0.00088814,             0.00241,             0.00241,             0.00241
                 117,            0.015373,            0.020351,          8.3575e-05,             0.80325,             0.65621,             0.68719,             0.50087,            0.030901,            0.014892,          0.00088685,            0.002344,            0.002344,            0.002344
                 118,            0.018123,             0.02466,          0.00024982,             0.80692,             0.65507,             0.68661,             0.50223,            0.030879,            0.014903,          0.00087656,            0.002278,            0.002278,            0.002278
                 119,            0.015249,            0.020389,          9.5069e-05,             0.80617,             0.65541,             0.68701,             0.50319,            0.030873,             0.01493,          0.00087858,            0.002212,            0.002212,            0.002212
                 120,            0.014895,             0.01955,          9.1637e-05,             0.80768,             0.65244,              0.6875,             0.50334,            0.030869,            0.014963,          0.00087698,            0.002146,            0.002146,            0.002146
                 121,            0.014809,            0.019424,          7.6152e-05,             0.80555,             0.65095,             0.68616,             0.50217,            0.030873,            0.014995,          0.00087619,             0.00208,             0.00208,             0.00208
                 122,            0.014444,            0.018927,          7.8861e-05,             0.80534,             0.65095,             0.68561,             0.50325,            0.030871,            0.015031,          0.00087328,            0.002014,            0.002014,            0.002014
                 123,            0.014123,            0.018151,          8.0216e-05,             0.81185,             0.64946,             0.68572,             0.50311,            0.030875,            0.015079,          0.00086977,            0.001948,            0.001948,            0.001948
                 124,            0.014014,            0.018059,          7.3359e-05,             0.81155,             0.64946,             0.68406,             0.50302,            0.030889,            0.015131,          0.00086278,            0.001882,            0.001882,            0.001882
                 125,            0.014878,            0.019829,          7.4616e-05,             0.81482,             0.64946,             0.68432,             0.50366,            0.030897,            0.015171,          0.00086374,            0.001816,            0.001816,            0.001816
                 126,            0.013782,            0.017987,          5.8611e-05,             0.81593,             0.64876,               0.685,             0.50389,            0.030902,            0.015221,          0.00086872,             0.00175,             0.00175,             0.00175
                 127,            0.013546,            0.017275,          6.9299e-05,             0.81517,             0.64832,             0.68403,             0.50374,            0.030914,            0.015279,          0.00086908,            0.001684,            0.001684,            0.001684
                 128,            0.013424,            0.017128,          5.1265e-05,             0.81415,             0.64717,             0.68411,             0.50337,            0.030938,            0.015336,          0.00086682,            0.001618,            0.001618,            0.001618
                 129,            0.013905,             0.01818,           5.893e-05,             0.80827,             0.64603,              0.6847,             0.50426,            0.030939,            0.015385,           0.0008694,            0.001552,            0.001552,            0.001552
                 130,            0.013122,            0.016887,          4.9354e-05,             0.80733,             0.64603,             0.68422,             0.50414,            0.030942,            0.015447,          0.00087415,            0.001486,            0.001486,            0.001486
                 131,            0.012931,            0.016286,          5.8428e-05,             0.80295,             0.64832,             0.68364,             0.50405,            0.030954,            0.015511,          0.00087647,             0.00142,             0.00142,             0.00142
                 132,            0.012795,            0.016022,          4.2999e-05,              0.7985,              0.6498,             0.68328,             0.50338,            0.030977,            0.015576,          0.00087223,            0.001354,            0.001354,            0.001354
                 133,             0.01256,            0.015773,          3.7616e-05,             0.79652,             0.65238,              0.6831,             0.50366,            0.030639,            0.015498,          0.00082979,            0.001288,            0.001288,            0.001288
                 134,            0.012205,             0.01504,          4.4233e-05,              0.7775,             0.66596,             0.68471,             0.50459,            0.030654,            0.015572,           0.0008368,            0.001222,            0.001222,            0.001222
                 135,            0.012072,            0.014783,          3.1032e-05,             0.77842,             0.66601,              0.6846,             0.50491,            0.030692,            0.015643,           0.0008407,            0.001156,            0.001156,            0.001156
                 136,            0.013249,            0.017249,          4.2322e-05,             0.78391,              0.6656,              0.6838,             0.50484,            0.030701,            0.015702,          0.00084052,             0.00109,             0.00109,             0.00109
                 137,            0.011788,            0.014594,           2.838e-05,             0.78075,             0.66232,             0.68227,             0.50439,            0.030713,            0.015777,          0.00084415,            0.001024,            0.001024,            0.001024
                 138,            0.011561,            0.014038,          3.7307e-05,             0.78254,             0.66505,             0.68199,             0.50435,             0.03074,            0.015862,          0.00084997,            0.000958,            0.000958,            0.000958
                 139,            0.011423,            0.013765,          2.5023e-05,             0.77996,             0.66445,             0.68158,             0.50405,            0.030774,            0.015949,            0.000853,            0.000892,            0.000892,            0.000892
                 140,            0.012203,             0.01546,          2.8891e-05,              0.7811,             0.66396,             0.68147,             0.50415,            0.030805,            0.016022,          0.00085657,            0.000826,            0.000826,            0.000826
                 141,            0.016504,            0.023229,          0.00012798,             0.78246,             0.66334,             0.68141,             0.50426,            0.030783,            0.016029,          0.00085369,             0.00076,             0.00076,             0.00076
                 142,            0.017287,            0.024185,          0.00029714,             0.78295,             0.65879,             0.68144,             0.50393,            0.030754,            0.016014,          0.00084663,            0.000694,            0.000694,            0.000694
                 143,            0.017164,            0.023994,          0.00026152,              0.7822,             0.65942,              0.6812,             0.50423,            0.030731,            0.016002,          0.00084017,            0.000628,            0.000628,            0.000628
                 144,            0.016927,            0.023774,          0.00023837,             0.77876,             0.65872,              0.6811,             0.50473,            0.030706,            0.015983,          0.00083796,            0.000562,            0.000562,            0.000562
                 145,            0.016621,             0.02347,              0.0002,              0.7811,             0.66191,             0.68277,             0.50403,            0.030683,            0.015964,          0.00084162,            0.000496,            0.000496,            0.000496
                 146,            0.011416,            0.014647,          2.0786e-05,             0.78159,             0.66216,              0.6831,             0.50556,            0.031025,            0.016178,          0.00088634,             0.00043,             0.00043,             0.00043
                 147,            0.010943,            0.013486,          2.9507e-05,             0.78577,             0.66216,             0.68232,             0.50454,            0.031051,            0.016249,          0.00088962,            0.000364,            0.000364,            0.000364
                 148,            0.010739,            0.013073,          1.6162e-05,             0.78707,              0.6605,             0.68133,             0.50524,            0.031089,            0.016328,           0.0008888,            0.000298,            0.000298,            0.000298
                 149,            0.010165,            0.012274,          1.4762e-05,              0.7921,             0.65565,             0.68082,             0.50506,            0.031121,            0.016413,          0.00088994,            0.000232,            0.000232,            0.000232
